"","","occ","ranges","mean_env","mean_cov","sum_cov"
"112","FJ_farmland_Scaff3400673_3","12","0.213652544","0.519581186166667","0.9136403865","10.963684638"
"113","FJ_farmland_Scaff3413116_1","2","0.109740023","0.6674833475","1.59757792","3.19515584"
"114","FJ_farmland_Scaff3521110_1","4","0.094869533","0.5611050415","1.4130434465","5.652173786"
"115","FJ_farmland_Scaff3553781_1","7","0.438109899","0.516470214571429","0.492119313285714","3.444835193"
"116","FJ_farmland_Scaff3594823_2","10","0.236898691","0.5313415587","1.0835852989","10.835852989"
"117","FJ_farmland_Scaff3810145_1","4","0.382301258","0.5643661495","0.7961828945","3.184731578"
"118","FJ_farmland_Scaff3900390_1","2","0.0301675340000001","0.597529569","1.7981915835","3.596383167"
"119","FJ_farmland_Scaff3950358_1","3","0.153483359","0.637687006333333","1.91410586833333","5.742317605"
"120","FJ_farmland_Scaff4010676_1","3","0.134979766","0.643854870666667","1.516507364","4.549522092"
"121","FJ_farmland_Scaff4077155_1","19","0.283771631","0.633665486105263","1.00484558910526","19.092066193"
"122","FJ_farmland_Scaff4234845_1","3","0.247454958","0.55805855","1.53943101566667","4.618293047"
"123","FJ_farmland_Scaff4264139_1","6","0.144771038","0.5668012765","0.6501405895","3.900843537"
"124","FJ_farmland_Scaff4343467_1","10","0.225478921","0.5138707881","1.498730613","14.98730613"
"125","FJ_farmland_Scaff4400217_1","3","0.0301675340000001","0.593936174333333","0.705706317","2.117118951"
"126","FJ_forest_Scaff0158144_1","10","0.309735868","0.4046510561","0.9572118007","9.572118007"
"127","FJ_forest_Scaff0625144_1","3","0.075242179","0.415950973333333","1.45626496133333","4.368794884"
"128","FJ_forest_Scaff0725245_1","2","0.075242179","0.4256973435","3.3346282165","6.669256433"
"129","FJ_forest_Scaff0844369_1","5","0.21967229","0.3539536452","0.9948340596","4.974170298"
"130","FJ_forest_Scaff0895678_2","10","0.309735868","0.3947204248","1.4146912169","14.146912169"
"131","FJ_forest_Scaff1090647_1","3","0.075242179","0.415950973333333","1.39167237366667","4.175017121"
"132","FJ_forest_Scaff1335212_3","5","0.286206192","0.4410644096","2.703534063","13.517670315"
"133","FJ_forest_Scaff1361653_1","3","0.075242179","0.415950973333333","1.03361872233333","3.100856167"
"134","FJ_forest_Scaff1551751_1","6","0.133011751","0.4426610555","0.907608114166667","5.445648685"
"135","FJ_forest_Scaff2270445_1","10","0.234807052","0.3367966349","1.6199914381","16.199914381"
"136","FJ_forest_Scaff2597413_6","12","0.222276802","0.400151517833333","1.81828165133333","21.819379816"
"137","FJ_forest_Scaff2705356_1","3","0.075242179","0.415950973333333","1.509002458","4.527007374"
"138","FJ_forest_Scaff2931338_1","3","0.075242179","0.415950973333333","1.098801789","3.296405367"
"139","FJ_forest_Scaff3118446_1","5","0.21967229","0.353409993","2.0167615956","10.083807978"
"140","FJ_forest_Scaff3741795_1","17","0.384101955","0.387914322882353","0.910563232117647","15.479574946"
